"codeinsee";"libdpt";"libsubcom";"popsubcom";"nompsn";"prepsn";"civpsn";"naissance";"csp";"libcsp"
"01401";"AIN";"Sergy";2005;"LINGLIN";"Denis";"M";1943-11-14;13;"Ingénieurs"
"01402";"AIN";"Sermoyer";674;"BOURCET";"Michèle";"F";1950-04-05;58;"Retraités agricoles"
"01403";"AIN";"Serrières-de-Briord";1231;"BEGUET";"Daniel";"M";1954-12-12;64;"Retraités des entreprises publiques"
"01404";"AIN";"Serrières-sur-Ain";122;"BARDET";"Christian";"M";1954-07-20;7;"Agents d'affaires"
"01405";"AIN";"Servas";1186;"GAVILLON";"Gérard";"M";1948-02-18;61;"Retraités salariés privés"
"01406";"AIN";"Servignat";163;"VIALLON";"Laurent";"M";1969-02-18;5;"Industriels-Chefs entreprise"
"01407";"AIN";"Seyssel";933;"GRANCHAMP";"Jean-Paul";"M";1950-08-12;33;"Agents généraux d'assurances"
"01408";"AIN";"Simandre-sur-Suran";664;"PERDRIX";"Jean Michel";"M";1965-04-30;19;"Autres cadres (secteur privé)"
"01409";"AIN";"Songieu";130;"ANCIAN";"Bernard";"M";1958-04-16;15;"Contremaitres"
"01410";"AIN";"Sonthonnax-la-Montagne";315;"GARBE";"Dominique";"M";1965-12-02;5;"Industriels-Chefs entreprise"
"01411";"AIN";"Souclin";263;"BERTHOLET";"Albert";"M";1944-10-01;61;"Retraités salariés privés"
"01412";"AIN";"Sulignat";562;"JARNET";"Bernard";"M";1953-06-05;5;"Industriels-Chefs entreprise"
"01413";"AIN";"Surjoux";77;"ROLLET";"Jean-Michel";"M";1960-10-21;19;"Autres cadres (secteur privé)"
"01414";"AIN";"Sutrieu";241;"PERRON";"Gérard";"M";1943-10-07;59;"Retr.artis.commerc.chefs d'entrep."
"01415";"AIN";"Talissieu";423;"FERNANDEZ GONZALEZ";"José";"M";1951-12-30;59;"Retr.artis.commerc.chefs d'entrep."
"01416";"AIN";"Tenay";1103;"PERROT";"Marc";"M";1950-06-14;43;"Enseignants 1er deg.-directeurs école"
"01417";"AIN";"Thézillieu";321;"STEYAERT";"Frank";"M";1961-11-18;47;"Fonctionnaires de catégorie A"
"01418";"AIN";"Thil";1050;"LOUSTALET";"Bruno";"M";1953-08-30;5;"Industriels-Chefs entreprise"
"01419";"AIN";"Thoiry";5461;"BENIER";"Muriel";"F";1971-03-14;9;"Commercants"
"01420";"AIN";"Thoissey";1558;"VOISIN";"Maurice";"M";1948-06-18;61;"Retraités salariés privés"
"01421";"AIN";"Torcieu";694;"GIRAUDET";"Françoise";"F";1951-01-24;48;"Fonctionnaires de catégorie B"
"01422";"AIN";"Tossiat";1389;"FENET";"Roger";"M";1944-06-17;65;"Autres retraités"
"01423";"AIN";"Toussieux";783;"AUBERT";"Jean-Claude";"M";1947-10-25;63;"Retraités fonct.publique (sf enseig.)"
"01424";"AIN";"Tramoyes";1657;"MERCANTI";"Henri";"M";1942-08-29;63;"Retraités fonct.publique (sf enseig.)"
"01425";"AIN";"La Tranclière";302;"ROUSSET";"Daniel";"M";1952-06-18;61;"Retraités salariés privés"
"01426";"AIN";"Treffort-Cuisiat";2254;"WIEL";"Monique";"F";1960-05-22;47;"Fonctionnaires de catégorie A"
"01427";"AIN";"Trévoux";6687;"PECHOUX";"Marc";"M";1957-07-31;47;"Fonctionnaires de catégorie A"
"01428";"AIN";"Valeins";90;"BARDON";"Frédéric";"M";1975-02-20;48;"Fonctionnaires de catégorie B"
"01429";"AIN";"Vandeins";636;"MARVIE";"Jean-Paul";"M";1947-01-02;60;"Retraités des professions libérales"
"01430";"AIN";"Varambon";519;"DULAURIER";"Pierre";"M";1948-10-07;61;"Retraités salariés privés"
"01431";"AIN";"Vaux-en-Bugey";1184;"VEYSSET";"Françoise";"F";1960-01-30;47;"Fonctionnaires de catégorie A"
"01432";"AIN";"Verjon";253;"JAMME";"Philippe";"M";1964-04-19;48;"Fonctionnaires de catégorie B"
"01433";"AIN";"Vernoux";299;"RAVASSARD";"Philippe";"M";1962-12-07;13;"Ingénieurs"
"01434";"AIN";"Versailleux";332;"BRANCHY";"Gérard";"M";1950-04-29;62;"Retraités de l'enseignement"
"01435";"AIN";"Versonnex";2130;"DUBOUT";"Jacques";"M";1960-12-05;19;"Autres cadres (secteur privé)"
"01436";"AIN";"Vesancy";529;"HOTELLIER";"Pierre";"M";1943-02-13;61;"Retraités salariés privés"
"01437";"AIN";"Vescours";210;"THENOZ";"Chantal";"F";1955-07-09;1;"Agriculteurs propriétaires exploit."
"01439";"AIN";"Vésines";95;"JULLIN";"Pascal";"M";1962-03-10;20;"Employés (secteur privé)"
"01441";"AIN";"Vieu-d'Izenave";688;"DELAGNEAU";"Dominique";"M";1952-07-09;61;"Retraités salariés privés"
"01442";"AIN";"Vieu";380;"BOLON";"André";"M";1946-12-12;58;"Retraités agricoles"
"01443";"AIN";"Villars-les-Dombes";4411;"LARRIEU";"Pierre";"M";1960-12-10;47;"Fonctionnaires de catégorie A"
"01444";"AIN";"Villebois";1160;"LONGATTE";"Marc";"M";1952-04-10;61;"Retraités salariés privés"
"01445";"AIN";"Villemotier";634;"GUILLET";"Pierre";"M";1956-01-22;14;"Agents technique et techniciens"
"01446";"AIN";"Villeneuve";1396;"MOUSSY";"Raymond";"M";1942-07-09;65;"Autres retraités"
"01447";"AIN";"Villereversure";1211;"BALLAND";"Gérard";"M";1946-05-05;62;"Retraités de l'enseignement"
"01448";"AIN";"Villes";374;"SUSINI";"Guy";"M";1951-11-23;61;"Retraités salariés privés"
"01449";"AIN";"Villette-sur-Ain";678;"HUMBERT";"Jean-Pierre";"M";1950-12-14;5;"Industriels-Chefs entreprise"
"01450";"AIN";"Villieu-Loyes-Mollon";3174;"BEAUFORT";"Eric";"M";1964-08-03;19;"Autres cadres (secteur privé)"
"01451";"AIN";"Viriat";6083;"PERRET";"Bernard";"M";1962-04-22;19;"Autres cadres (secteur privé)"
"01452";"AIN";"Virieu-le-Grand";1174;"GERIN";"Georges";"M";1947-09-11;47;"Fonctionnaires de catégorie A"
"01453";"AIN";"Virieu-le-Petit";307;"BERTOLINO";"Alain";"M";1950-07-17;63;"Retraités fonct.publique (sf enseig.)"
"01454";"AIN";"Virignin";882;"BLANC";"Jean Paul";"M";1951-07-27;65;"Autres retraités"
"01456";"AIN";"Vongnes";76;"GUILLON";"Pascale";"F";1961-11-10;2;"Salariés agricoles"
"01457";"AIN";"Vonnas";2844;"CHAIZE";"Patrick";"M";1963-03-22;50;"Cadres sup. (entreprises publiques)"
"02001";"AISNE";"Abbécourt";536;"PARIS";"René";"M";1946-08-07;59;"Retr.artis.commerc.chefs d'entrep."
